'21-10-2022 14:36:37 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:36:37 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:38:17 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:38:17 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:38:17 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:38:17 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:38:39 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:40:23 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:40:23 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:40:23 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:40:23 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:42:29 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:42:29 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:42:29 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:42:29 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:43:16 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:43:16 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:43:16 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:43:16 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:43:19 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:43:19 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:43:19 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:43:19 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 14:46:02 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:46:15 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 14:46:15 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 14:46:15 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 14:46:15 INFO | functions | Reglòn 2:49 palabras'
'21-10-2022 15:17:59 INFO | functions | cuento.txt - Cantidad de renglones: 3'
'21-10-2022 15:17:59 INFO | functions | Reglòn 0:62 palabras'
'21-10-2022 15:17:59 INFO | functions | Reglòn 1:79 palabras'
'21-10-2022 15:17:59 INFO | functions | Reglòn 2:49 palabras'
